,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
239,Massachusetts Institute of Technology (MIT),Northeastern,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0,Engineering
240,Yale University,Northeastern,59100.0,126000.0,58000.0,80600.0,198000.0,326000.0,Ivy League
241,Harvard University,Northeastern,63400.0,124000.0,54800.0,86200.0,179000.0,288000.0,Ivy League
242,University of Pennsylvania,Northeastern,60900.0,120000.0,55900.0,79200.0,192000.0,282000.0,Ivy League
243,"Polytechnic University of New York, Brooklyn",Northeastern,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0,Engineering
244,Cooper Union,Northeastern,62200.0,114000.0,,80200.0,142000.0,,Engineering
245,Worcester Polytechnic Institute (WPI),Northeastern,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0,Engineering
246,Carnegie Mellon University (CMU),Northeastern,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0,Engineering
247,Rensselaer Polytechnic Institute (RPI),Northeastern,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0,Engineering
248,Cornell University,Northeastern,60300.0,110000.0,56800.0,79800.0,160000.0,210000.0,Ivy League
249,Bucknell University,Northeastern,54100.0,110000.0,62800.0,80600.0,156000.0,251000.0,Liberal Arts
250,Brown University,Northeastern,56200.0,109000.0,55400.0,74400.0,159000.0,228000.0,Ivy League
251,Colgate University,Northeastern,52800.0,108000.0,60000.0,76700.0,167000.0,265000.0,Liberal Arts
252,Columbia University,Northeastern,59400.0,107000.0,50300.0,71900.0,161000.0,241000.0,Ivy League
253,Amherst College,Northeastern,54500.0,107000.0,,84900.0,162000.0,,Liberal Arts
254,Lafayette College,Northeastern,53900.0,107000.0,70600.0,79300.0,144000.0,204000.0,Liberal Arts
255,Bowdoin College,Northeastern,48100.0,107000.0,,74600.0,146000.0,,Liberal Arts
256,College of the Holy Cross,Northeastern,50200.0,106000.0,,65600.0,143000.0,,Liberal Arts
257,Stevens Institute of Technology,Northeastern,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0,Engineering
258,Lehigh University,Northeastern,59200.0,105000.0,69500.0,85000.0,160000.0,229000.0,
259,Swarthmore College,Northeastern,49700.0,104000.0,,67200.0,167000.0,,Liberal Arts
260,Boston College,Northeastern,52700.0,103000.0,48900.0,70000.0,143000.0,195000.0,
261,Williams College,Northeastern,51700.0,102000.0,,76400.0,143000.0,,Liberal Arts
262,Villanova University,Northeastern,55800.0,101000.0,56800.0,76200.0,156000.0,226000.0,
263,Fordham University,Northeastern,47800.0,99900.0,48600.0,65900.0,142000.0,198000.0,
264,"Wesleyan University (Middletown, Connecticut)",Northeastern,46500.0,97900.0,42000.0,62500.0,126000.0,215000.0,Liberal Arts
265,Wentworth Institute of Technology,Northeastern,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0,Engineering
266,Bates College,Northeastern,47300.0,96500.0,,60700.0,162000.0,,Liberal Arts
267,Binghamton University,Northeastern,53600.0,95900.0,50900.0,71200.0,146000.0,201000.0,State
268,Union College,Northeastern,47200.0,95800.0,48700.0,75200.0,135000.0,230000.0,Liberal Arts
269,New York University (NYU),Northeastern,50300.0,95600.0,47500.0,65000.0,142000.0,216000.0,
270,Vassar College,Northeastern,46000.0,94600.0,,60600.0,123000.0,,Liberal Arts
